Column1,Column2,Column3,Column4,Column5,Column6
N_sample,X,Y,Z,ID,label
1,114,-61,974,0,circle
2,108,-68,936,0,circle
3,-2,-27,924,0,circle
4,81,-103,1226,0,circle
5,922,139,805,0,circle
6,552,428,624,0,circle
7,441,443,422,0,circle
8,95,454,573,0,circle
9,-544,87,786,0,circle
10,-405,-99,1361,0,circle
11,-102,-205,1179,0,circle
12,247,-150,1129,0,circle
13,295,47,831,0,circle
14,93,3,942,0,circle
15,75,11,1004,0,circle
16,69,10,945,0,circle
17,76,10,960,0,circle
18,59,13,960,0,circle
19,122,20,973,0,circle
20,97,4,993,0,circle
21,13,-45,960,0,circle
22,116,98,1021,0,circle
23,71,61,888,0,circle
24,88,157,937,0,circle
25,39,62,1037,0,circle
1,109,-32,951,1,circle
2,139,-36,919,1,circle
3,174,-50,813,1,circle
4,126,-129,972,1,circle
5,96,-91,1113,1,circle
6,152,-82,1104,1,circle
7,246,-5,1130,1,circle
8,691,329,744,1,circle
9,218,486,296,1,circle
10,362,523,216,1,circle
11,-376,290,319,1,circle
12,-499,-138,1119,1,circle
13,-155,-271,1177,1,circle
14,-63,-243,1415,1,circle
15,376,-47,984,1,circle
16,190,48,955,1,circle
17,-51,28,1028,1,circle
18,103,46,899,1,circle
19,108,27,990,1,circle
20,-16,-1,1002,1,circle
21,48,2,963,1,circle
22,38,19,961,1,circle
23,99,7,964,1,circle
24,6,-18,990,1,circle
25,103,2,988,1,circle
1,105,-26,972,2,circle
2,10,-40,865,2,circle
3,96,-120,1078,2,circle
4,112,-70,867,2,circle
5,452,-145,1095,2,circle
6,283,-92,942,2,circle
7,653,-62,1207,2,circle
8,596,180,957,2,circle
9,699,305,643,2,circle
10,670,699,244,2,circle
11,-238,426,82,2,circle
12,-407,90,897,2,circle
13,-675,-84,905,2,circle
14,-44,-350,1481,2,circle
15,197,15,1121,2,circle
16,382,-61,858,2,circle
17,51,81,839,2,circle
18,116,73,946,2,circle
19,83,64,1062,2,circle
20,126,98,918,2,circle
21,74,94,916,2,circle
22,91,59,1029,2,circle
23,109,89,925,2,circle
24,171,93,961,2,circle
25,127,76,966,2,circle
1,186,-183,930,3,circle
2,-22,-252,891,3,circle
3,272,-386,859,3,circle
4,-81,-460,910,3,circle
5,94,-412,980,3,circle
6,9,-475,923,3,circle
7,138,-499,810,3,circle
8,-8,-558,935,3,circle
9,280,-562,1165,3,circle
10,398,-106,1032,3,circle
11,887,201,580,3,circle
12,142,371,377,3,circle
13,-244,-101,481,3,circle
14,-663,-569,897,3,circle
15,-113,-543,1500,3,circle
16,-120,-562,1038,3,circle
17,277,-365,824,3,circle
18,-17,-255,972,3,circle
19,37,-244,904,3,circle
20,116,-256,840,3,circle
21,49,-278,961,3,circle
22,31,-283,937,3,circle
23,110,-271,896,3,circle
24,56,-287,976,3,circle
25,103,-293,889,3,circle
1,123,-335,886,4,circle
2,123,-335,886,4,circle
3,119,-374,884,4,circle
4,95,-335,914,4,circle
5,212,-346,851,4,circle
6,167,-352,941,4,circle
7,284,-315,980,4,circle
8,551,-370,835,4,circle
9,716,-222,922,4,circle
10,796,79,831,4,circle
11,372,307,940,4,circle
12,-183,405,317,4,circle
13,43,155,608,4,circle
14,-350,-74,1001,4,circle
15,-237,-509,1269,4,circle
16,40,-458,1249,4,circle
17,453,-284,855,4,circle
18,318,-249,874,4,circle
19,207,-195,796,4,circle
20,39,-248,942,4,circle
21,203,-253,949,4,circle
22,27,-281,921,4,circle
23,165,-254,915,4,circle
24,142,-266,889,4,circle
25,180,-298,913,4,circle
1,158,-298,915,5,circle
2,126,-300,998,5,circle
3,309,-330,1056,5,circle
4,177,-250,964,5,circle
5,758,-250,870,5,circle
6,882,76,597,5,circle
7,935,220,526,5,circle
8,772,465,349,5,circle
9,158,243,483,5,circle
10,-179,-186,701,5,circle
11,-129,-489,1245,5,circle
12,79,-680,1158,5,circle
13,704,-524,1097,5,circle
14,177,-214,610,5,circle
15,96,-220,925,5,circle
16,28,-245,782,5,circle
17,57,-311,921,5,circle
18,-32,-325,904,5,circle
19,9,-272,923,5,circle
20,-14,-270,921,5,circle
21,-34,-293,872,5,circle
22,-9,-309,954,5,circle
23,-21,-286,915,5,circle
24,-34,-310,900,5,circle
25,-60,-322,922,5,circle
1,8,-324,889,6,circle
2,-13,-320,957,6,circle
3,-102,-355,994,6,circle
4,331,-276,886,6,circle
5,631,-218,886,6,circle
6,616,-108,767,6,circle
7,707,34,916,6,circle
8,522,304,541,6,circle
9,-2,175,541,6,circle
10,-181,-37,568,6,circle
11,-405,-245,883,6,circle
12,-263,-599,1430,6,circle
13,215,-395,1035,6,circle
14,145,-311,957,6,circle
15,12,-205,978,6,circle
16,-67,-234,869,6,circle
17,111,-252,918,6,circle
18,67,-257,937,6,circle
19,282,-200,917,6,circle
20,280,-188,855,6,circle
21,368,-202,884,6,circle
22,270,-162,1010,6,circle
23,413,-151,800,6,circle
24,449,-167,716,6,circle
25,438,-162,885,6,circle
1,530,-339,815,7,circle
2,530,-339,815,7,circle
3,351,-307,831,7,circle
4,274,-337,897,7,circle
5,172,-368,964,7,circle
6,381,-418,930,7,circle
7,274,-388,1015,7,circle
8,631,-243,941,7,circle
9,695,-9,739,7,circle
10,380,-6,586,7,circle
11,367,20,681,7,circle
12,-713,-464,871,7,circle
13,-504,-639,961,7,circle
14,-523,-637,1216,7,circle
15,-30,-525,1005,7,circle
16,56,-296,888,7,circle
17,-86,-239,772,7,circle
18,-188,-300,822,7,circle
19,-288,-347,901,7,circle
20,-163,-368,925,7,circle
21,-198,-334,870,7,circle
22,-66,-332,876,7,circle
23,-169,-353,887,7,circle
24,-40,-358,867,7,circle
25,-185,-336,874,7,circle
1,347,52,981,8,circle
2,347,52,981,8,circle
3,317,47,898,8,circle
4,330,-12,1002,8,circle
5,701,471,133,8,circle
6,500,450,621,8,circle
7,541,431,474,8,circle
8,731,554,55,8,circle
9,-108,139,764,8,circle
10,-152,-42,926,8,circle
11,46,-201,1156,8,circle
12,340,-199,1487,8,circle
13,334,189,817,8,circle
14,380,168,739,8,circle
15,197,117,941,8,circle
16,117,102,954,8,circle
17,150,128,993,8,circle
18,197,116,937,8,circle
19,176,123,920,8,circle
20,200,111,973,8,circle
21,206,85,930,8,circle
22,216,111,944,8,circle
23,191,87,963,8,circle
24,199,109,940,8,circle
25,162,98,952,8,circle
1,95,-47,996,9,circle
2,216,-112,993,9,circle
3,261,-114,1062,9,circle
4,227,-117,1010,9,circle
5,549,75,903,9,circle
6,451,101,1199,9,circle
7,717,522,365,9,circle
8,145,400,52,9,circle
9,-841,-133,974,9,circle
10,-547,-274,1433,9,circle
11,-182,-233,840,9,circle
