Column1,Column2,Column3,Column4,Column5
N_sample,X,Y,Z,ID
1,114,-61,974,0
2,108,-68,936,0
3,-2,-27,924,0
4,81,-103,1226,0
5,922,139,805,0
6,552,428,624,0
7,441,443,422,0
8,95,454,573,0
9,-544,87,786,0
10,-405,-99,1361,0
11,-102,-205,1179,0
12,247,-150,1129,0
13,295,47,831,0
14,93,3,942,0
15,75,11,1004,0
16,69,10,945,0
17,76,10,960,0
18,59,13,960,0
19,122,20,973,0
20,97,4,993,0
21,13,-45,960,0
22,116,98,1021,0
23,71,61,888,0
24,88,157,937,0
25,39,62,1037,0
,,,,
1,109,-32,951,1
2,139,-36,919,1
3,174,-50,813,1
4,126,-129,972,1
5,96,-91,1113,1
6,152,-82,1104,1
7,246,-5,1130,1
8691329744,,,,1
9218486296,,,,1
10362523216,,,,1
11,-376,290,319,1
12,-499,-138,1119,1
13,-155,-271,1177,1
14,-63,-243,1415,1
15,376,-47,984,1
16,190,48,955,1
17,-51,28,1028,1
18,103,46,899,1
19,108,27,990,1
20,-16,-1,1002,1
21,48,2,963,1
22,38,19,961,1
23,99,7,964,1
24,6,-18,990,1
25,103,2,988,1
,,,,
1,105,-26,972,2
2,10,-40,865,2
3,96,-120,1078,2
4,112,-70,867,2
5,452,-145,1095,2
6,283,-92,942,2
7,653,-62,1207,2
8,596,180,957,2
9,699,305,643,2
10,670,699,244,2
11,-238,426,82,2
12,-407,90,897,2
13,-675,-84,905,2
14,-44,-350,1481,2
15,197,15,1121,2
16,382,-61,858,2
17,51,81,839,2
18,116,73,946,2
19,83,64,1062,2
20,126,98,918,2
21,74,94,916,2
22,91,59,1029,2
23,109,89,925,2
24,171,93,961,2
25,127,76,966,2
,,,,
1,186,-183,930,3
2,-22,-252,891,3
3,272,-386,859,3
4,-81,-460,910,3
5,94,-412,980,3
6,9,-475,923,3
7,138,-499,810,3
8,-8,-558,935,3
9,280,-562,1165,3
10,398,-106,1032,3
11,887,201,580,3
12,142,371,377,3
13,-244,-101,481,3
14,-663,-569,897,3
15,-113,-543,1500,3
16,-120,-562,1038,3
17,277,-365,824,3
18,-17,-255,972,3
19,37,-244,904,3
20,116,-256,840,3
21,49,-278,961,3
22,31,-283,937,3
23,110,-271,896,3
24,56,-287,976,3
25,103,-293,889,3
,,,,
1,123,-335,886,4
2,123,-335,886,4
3,119,-374,884,4
4,95,-335,914,4
5,212,-346,851,4
6,167,-352,941,4
7,284,-315,980,4
8,551,-370,835,4
9,716,-222,922,4
10,796,79,831,4
11,372,307,940,4
12,-183,405,317,4
13,43,155,608,4
14,-350,-74,1001,4
15,-237,-509,1269,4
16,40,-458,1249,4
17,453,-284,855,4
18,318,-249,874,4
19,207,-195,796,4
20,39,-248,942,4
21,203,-253,949,4
22,27,-281,921,4
23,165,-254,915,4
24,142,-266,889,4
25,180,-298,913,4
,,,,
1,158,-298,915,5
2,126,-300,998,5
3,309,-330,1056,5
4,177,-250,964,5
5,758,-250,870,5
6,882,76,597,5
7,935,220,526,5
8,772,465,349,5
9,158,243,483,5
10,-179,-186,701,5
11,-129,-489,1245,5
12,79,-680,1158,5
13,704,-524,1097,5
14,177,-214,610,5
15,96,-220,925,5
16,28,-245,782,5
17,57,-311,921,5
18,-32,-325,904,5
19,9,-272,923,5
20,-14,-270,921,5
21,-34,-293,872,5
22,-9,-309,954,5
23,-21,-286,915,5
24,-34,-310,900,5
25,-60,-322,922,5
,,,,
1,8,-324,889,6
2,-13,-320,957,6
3,-102,-355,994,6
4,331,-276,886,6
5,631,-218,886,6
6,616,-108,767,6
7,707,34,916,6
8,522,304,541,6
9,-2,175,541,6
10,-181,-37,568,6
11,-405,-245,883,6
12,-263,-599,1430,6
13,215,-395,1035,6
14,145,-311,957,6
15,12,-205,978,6
16,-67,-234,869,6
17,111,-252,918,6
18,67,-257,937,6
19,282,-200,917,6
20,280,-188,855,6
21,368,-202,884,6
22,270,-162,1010,6
23,413,-151,800,6
24,449,-167,716,6
25,438,-162,885,6
,,,,
1,530,-339,815,7
2,530,-339,815,7
3,351,-307,831,7
4,274,-337,897,7
5,172,-368,964,7
6,381,-418,930,7
7,274,-388,1015,7
8,631,-243,941,7
9,695,-9,739,7
10,380,-6,586,7
11,367,20,681,7
12,-713,-464,871,7
13,-504,-639,961,7
14,-523,-637,1216,7
15,-30,-525,1005,7
16,56,-296,888,7
17,-86,-239,772,7
18,-188,-300,822,7
19,-288,-347,901,7
20,-163,-368,925,7
21,-198,-334,870,7
22,-66,-332,876,7
23,-169,-353,887,7
24,-40,-358,867,7
25,-185,-336,874,7
,,,,
1,347,52,981,8
2,347,52,981,8
3,317,47,898,8
4,330,-12,1002,8
54,701,471,133,8
67,012,621,120,8
7,541,431,474,8
8,731,554,55,8
9,-108,139,764,8
10,-152,-42,926,8
11,46,-201,1156,8
12,340,-199,1487,8
13334189817,,,,8
14380168739,,,,8
15197117941,,,,8
16117102954,,,,8
17150128993,,,,8
18197116937,,,,8
19176123920,,,,8
20200111973,,,,8
21,206,85,930,8
22216111944,,,,8
23,191,87,963,8
24199109940,,,,8
25,162,98,952,8
,,,,
1,95,-47,996,9
2,216,-112,993,9
3,261,-114,1062,9
4,227,-117,1010,9
5,549,75,903,9
64511011199,,,,9
7717522365,,,,9
8,145,400,52,9
9,-841,-133,974,9
10,-547,-274,1433,9
11,-182,-233,840,9
12,299,-205,1150,9
1.32E+11,,,,9
14656443329,,,,9
15,-89,327,119,9
16,-280,94,570,9
17,-384,-223,1354,9
18,-60,-176,1062,9
19,-29,-133,929,9
20,-123,-122,1077,9
21,-87,-75,839,9
22,-145,-42,978,9
23,-214,-73,991,9
24,-129,-78,952,9
25,-110,-79,966,9
