N_sample,X,Y,Z
1,23,-22,988
2,23,-22,988
3,40,5,965
4,88,-19,932
5,76,-11,993
6,59,-15,925
7,112,-13,989
8,39,-13,1029
9,110,-11,941
10,95,-11,951
11,54,-27,969
12,84,-33,989
13,75,-47,1005
14,93,-37,946
15,40,-30,976
16,73,-12,950
17,81,-38,976
18,64,-23,961
19,63,-25,966
20,93,-37,934
21,89,-35,951
22,69,-51,972
23,38,-24,954
24,83,-37,958
25,84,-24,965
N_sample,X,Y,Z
1,-30,-48,917
2,-9,-28,984
3,-22,-46,972
4,-7,-44,934
5,-34,-58,974
6,-18,-56,960
7,-5,-55,967
8,-21,-68,946
9,17,-55,980
10,-1,-78,956
11,22,-68,990
12,-1,-55,973
13,-11,-62,979
14,-4,-64,970
15,14,-64,950
16,-21,-59,983
17,-7,-59,967
18,-4,-60,987
19,-8,-41,972
20,-20,-77,988
21,-15,-55,973
22,11,-57,967
23,53,-78,970
24,1,-73,973
25,34,-56,933
N_sample,X,Y,Z
1,51,-98,944
2,20,-94,961
3,74,-82,968
4,48,-69,963
5,39,-77,972
6,13,-72,963
7,47,-70,964
8,18,-83,948
9,29,-70,974
10,11,-71,989
11,15,-95,967
12,28,-71,940
13,47,-77,948
14,20,-84,951
15,-3,-75,964
16,65,-82,971
17,22,-92,971
18,1,-72,998
19,15,-69,971
20,40,-84,940
21,28,-72,969
22,12,-75,964
23,46,-93,948
24,45,-72,959
25,23,-72,976
N_sample,X,Y,Z
1,61,-75,984
2,50,-73,970
3,28,-74,960
4,37,-98,955
5,61,-74,946
6,12,-95,964
7,42,-93,970
8,27,-92,945
9,37,-97,964
10,33,-88,971
11,49,-94,946
12,33,-87,969
13,46,-76,963
14,50,-84,951
15,37,-93,1015
16,52,-75,935
17,63,-97,999
18,39,-75,951
19,72,-82,949
20,61,-94,974
21,67,-74,966
22,68,-72,963
23,54,-82,983
24,27,-75,945
25,43,-75,952
N_sample,X,Y,Z
1,-70,-185,954
2,-70,-185,954
3,-82,-167,954
4,-69,-166,954
5,-80,-166,956
6,-83,-167,932
7,-82,-167,936
8,-82,-167,955
9,-83,-167,953
10,-84,-167,955
11,-69,-166,956
12,-83,-167,953
13,-83,-168,953
14,-83,-166,953
15,-82,-167,954
16,-83,-166,954
17,-82,-166,954
18,-83,-165,955
19,-83,-166,953
20,-69,-165,953
21,-81,-167,954
22,-83,-168,954
23,-82,-166,954
24,-82,-166,954
25,-81,-167,954
N_sample,X,Y,Z
1,206,-31,945
2,192,-33,946
3,204,-14,948
4,183,-32,950
5,206,-11,959
6,183,-31,948
7,204,-31,945
8,203,-30,946
9,202,-31,947
10,202,-31,946
11,202,-14,946
12,203,-14,947
13,202,-14,946
14,202,-30,947
15,202,-31,945
16,202,-14,946
17,204,-14,946
18,202,-14,946
19,200,-14,946
20,204,-13,946
21,202,-15,948
22,203,-14,948
23,203,-13,946
24,204,-14,959
25,201,-13,947
N_sample,X,Y,Z
1,11,648,724
2,20,630,755
3,21,633,850
4,16,616,722
5,47,623,799
6,48,610,733
7,5,633,834
8,13,616,716
9,-33,619,795
10,-19,615,760
11,3,616,764
12,-15,618,763
13,-13,618,751
14,-35,597,754
15,-37,595,760
16,-14,597,764
17,-8,594,766
18,-12,618,787
19,0,618,714
20,-31,611,771
21,-10,615,770
22,-51,611,774
23,-48,626,765
24,0,651,741
25,-76,553,738
N_sample,X,Y,Z
1,-24,20,850
2,54,8,1020
3,-17,4,986
4,-157,-2,957
5,-14,-19,919
6,-59,3,988
7,-66,-21,977
8,-6,-3,984
9,-76,2,986
10,-16,-17,988
11,3,5,963
12,21,6,931
13,-7,6,988
14,37,2,998
15,22,-15,948
16,-17,0,980
17,33,-21,969
18,19,3,993
19,-13,-17,969
20,-1,5,1002
21,15,1,960
22,31,2,979
23,10,0,986
24,28,4,996
25,51,4,981
N_sample,X,Y,Z
1,-105,-75,949
2,-105,-74,949
3,-105,-75,959
4,-106,-73,947
5,-106,-74,948
6,-123,-73,947
7,-123,-75,947
8,-124,-73,947
9,-124,-75,948
10,-126,-74,948
11,-125,-74,948
12,-124,-73,948
13,-124,-74,947
14,-127,-74,948
15,-128,-75,947
16,-126,-71,949
17,-126,-72,947
18,-127,-72,948
19,-125,-73,947
20,-127,-74,948
21,-126,-74,946
22,-125,-74,947
23,-127,-74,947
24,-126,-73,947
25,-127,-73,947
N_sample,X,Y,Z
1,-126,-72,948
2,-126,-72,948
3,-125,-72,948
4,-125,-73,947
5,-125,-73,947
6,-126,-74,947
7,-126,-73,948
8,-126,-73,949
9,-127,-72,946
10,-126,-71,947
11,-126,-73,947
12,-127,-72,948
13,-126,-73,948
14,-127,-72,948
15,-127,-72,948
16,-126,-71,948
17,-126,-72,948
18,-126,-72,947
19,-126,-70,947
20,-125,-73,947
21,-125,-72,948
22,-127,-71,948
23,-125,-72,947
24,-125,-73,947
25,-125,-71,948
N_sample,X,Y,Z
1,70,-112,951
2,70,-111,968
3,69,-112,968
4,69,-112,968
5,82,-110,951
6,83,-109,968
7,69,-112,969
8,83,-109,951
9,69,-109,968
10,69,-109,952
11,84,-110,951
12,72,-109,968
13,84,-108,952
14,84,-108,951
15,83,-109,950
16,70,-110,971
17,83,-110,949
18,69,-109,967
19,69,-108,968
20,84,-109,969
21,69,-108,950
22,70,-109,952
23,70,-108,968
24,70,-110,951
25,69,-109,951
