=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.09.07 10:30:41 =~=~=~=~=~=~=~=~=~=~=~=
N_sample,X,Y,Z
1,20,375,912
2,-19,361,798
3,98,284,68
4,408,-111,1402
5,-45,-115,1352
6,57,-151,1950
7,120,-151,952
8,-122,-210,297
9,-951,146,413
10,-353,306,741
11,-345,320,779
12,-379,298,826
13,-432,287,813
14,-396,286,825
15,-417,293,821
16,-415,289,866
17,-366,309,793
18,-361,284,813
19,-399,308,874
20,-380,289,789
21,-406,291,842
22,-382,291,845
23,-379,309,809
24,-417,288,843
25,-405,284,798
N_sample,X,Y,Z
1,-39,473,857
2,-52,493,851
3,-63,470,839
4,-58,496,825
5,-64,393,381
6,441,62,483
7,11,-315,750
8,-180,-390,1941
9,848,-73,1229
10,-499,-380,1540
11,-458,-179,356
12,-623,152,158
13,-395,281,954
14,-447,246,908
15,-427,249,687
16,-463,255,873
17,-416,238,752
18,-444,263,868
19,-413,238,787
20,-429,265,823
21,-441,242,835
22,-409,256,860
23,-462,244,831
24,-446,259,835
25,-378,269,811
N_sample,X,Y,Z
1,16,356,925
2,16,356,925
3,-16,347,847
4,71,350,929
5,288,267,195
6,377,-245,974
7,-421,-367,1205
8,140,-543,1501
9,80,-206,963
10,-211,102,196
11,-207,297,626
12,-326,299,892
13,-345,297,771
14,-343,325,860
15,-226,338,893
16,-309,306,828
17,-261,321,936
18,-292,312,852
19,-244,315,896
20,-256,327,863
21,-279,306,887
22,-228,326,879
23,-264,316,894
24,-250,316,841
25,-247,316,891
N_sample,X,Y,Z
1,-40,555,858
2,-40,534,787
3,-90,530,745
4,-51,538,718
5,3,509,693
6,-41,102,1437
7,110,-89,894
8,-19,-137,1196
9,-31,-253,1080
10,-9,-317,1025
11,-31,-300,1410
12,164,-235,1058
13,-38,-107,932
14,-214,202,576
15,-286,281,736
16,-388,322,1025
17,-332,419,783
18,-468,452,698
19,-445,424,914
20,-378,443,683
21,-459,440,796
22,-398,459,778
23,-402,478,670
24,-461,473,713
25,-440,493,716
N_sample,X,Y,Z
1,-14,580,741
2,-41,567,841
3,-114,584,808
4,-75,598,752
5,-60,605,767
6,-89,565,587
7,22,360,192
8,330,83,937
9,-119,-302,979
10,-124,-359,1379
11,-82,-286,811
12,36,-263,1258
13,-287,-313,939
14,-573,40,496
15,-407,199,640
16,-447,330,832
17,-382,417,569
18,-510,427,615
19,-486,449,757
20,-434,448,700
21,-456,467,719
22,-481,445,754
23,-453,461,670
24,-459,441,748
25,-447,461,685
N_sample,X,Y,Z
1,81,629,754
2,37,629,742
3,-2,640,760
4,70,648,740
5,27,648,591
6,366,1,525
7,154,-83,1028
8,285,-164,1954
9,109,-245,1016
10,224,-149,1358
11,-330,-53,386
12,-352,294,372
13,-465,411,654
14,-467,479,689
15,-435,493,715
16,-448,460,664
17,-467,477,731
18,-391,469,664
19,-441,473,764
20,-409,482,741
21,-434,480,724
22,-434,492,703
23,-395,474,704
24,-410,471,706
25,-426,470,718
N_sample,X,Y,Z
1,10,803,574
2,-1,802,567
3,18,792,580
4,-1,796,552
5,6,751,407
6,162,569,-344
7,140,20,776
8,-78,-274,1381
9,210,-138,1570
10,280,-48,1355
11,20,-170,603
12,-505,470,378
13,-474,590,619
14,-482,599,731
15,-424,545,549
16,-395,573,642
17,-461,561,591
18,-523,559,695
19,-456,554,610
20,-458,546,574
21,-480,568,645
22,-473,550,665
23,-453,551,635
24,-478,552,610
25,-481,574,637
N_sample,X,Y,Z
1,81,788,617
2,90,709,379
3,303,323,133
4,133,185,943
5,97,-162,1765
6,65,-227,1086
7,126,-250,1115
8,203,-238,1377
9,304,-9,1007
10,3,118,923
11,-76,159,863
12,-105,232,782
13,-206,244,828
14,-147,340,856
15,-137,329,941
16,-184,299,874
17,-209,309,952
18,-131,304,885
19,-117,325,926
20,-164,299,875
21,-159,305,888
22,-135,325,899
23,-172,304,905
24,-160,324,910
25,-185,302,910
N_sample,X,Y,Z
1,-59,548,843
2,64,585,751
3,99,581,820
4,-103,558,613
5,28,437,169
6,236,149,594
7,62,-51,1664
8,97,-192,1340
9,138,-231,1010
10,-25,-274,952
11,56,-254,1210
12,-2,-134,741
13,-127,-92,1112
14,0,7,968
15,-55,31,1054
16,-152,168,939
17,-319,132,514
18,-426,316,752
19,-376,379,603
20,-449,375,798
21,-613,360,690
22,-422,404,729
23,-454,384,781
24,-445,401,778
25,-468,403,788
N_sample,X,Y,Z
1,22,611,756
2,22,611,756
3,-55,607,735
4,-56,608,706
5,-69,601,717
6,-27,633,783
7,-65,601,712
8,230,224,449
9,56,-86,1261
10,149,-261,1624
11,-97,-262,1150
12,0,-240,981
13,31,-214,1026
14,321,-161,1359
15,17,-127,1095
16,-418,245,494
17,-561,358,356
18,-540,455,662
19,-512,486,600
20,-604,481,580
21,-493,509,601
22,-581,498,676
23,-527,471,677
24,-527,494,621
25,-485,509,598
N_sample,X,Y,Z
1,35,374,914
2,11,363,858
3,-3,374,886
4,-5,370,879
5,-38,360,957
6,12,340,741
7,95,238,831
8,117,70,892
9,124,-71,1027
10,-54,-319,1381
11,12,-324,1264
12,60,-302,1203
13,33,-168,1017
14,-365,106,470
15,-348,232,826
16,-308,266,857
17,-242,279,858
18,-302,261,825
19,-330,239,937
20,-307,246,865
21,-285,262,884
22,-314,253,912
23,-298,240,850
24,-285,246,937
25,-327,246,909
